物流单号,spu_id,商品名称,品牌,一级分类,发货仓库,目的地城市,物流公司,运输方式,发货日期,预计到达,实际到达,运输天数,物流运费,发货数量,件单价,物流状态
YT2604184659582,3485434100326759423,李子柒鲜花饼云南特产玫瑰花饼400g 盒,李子柒,食品酒水,北京通州仓,重庆,韵达物流,标准快递,2026-04-18,2026-04-19,2026-04-19,1,16.83,2,29.92,已签收
YT2606076018357,3476957282011592638,Coach 邮差包 24 17cm,蔻驰 (COACH),箱包饰品,成都双流仓,广州,圆通快递,同城配送,2026-06-07,2026-06-12,2026-06-12,5,8.7,1,1349.0,已签收
YT2605132206844,3486030059259705350,轻谷经典粽礼800g 赠轻谷茶语粽礼480g,良品铺子,食品酒水,成都双流仓,重庆,德邦物流,陆运快件,2026-05-13,2026-05-17,2026-05-17,4,112.19,53,89.0,运输中
YT2606133577622,3415911130210644014,HLA海澜之家格纹亚麻布短袖休闲衬衫几何短袖衬衫男HNECJ2E055A,海澜之家 (HLA),未分类,武汉东西湖仓,石家庄,顺丰速运,同城配送,2026-06-13,2026-06-14,2026-06-15,2,30.59,4,147.01,已延误
YT2605176179415,3448197827778463613,达芙妮时尚靴子202005507,达芙妮 (DAPHNE),服装,武汉东西湖仓,郑州,圆通快递,航空快件,2026-05-17,2026-05-19,2026-05-19,2,19.19,2,169.0,运输中
YT2606076993800,3455749989505080544,巴拉巴拉女童连衣裙公主裙春装2021童装大童牛仔时髦22141200431,巴拉巴拉 (BALABALA),母婴,北京通州仓,南昌,申通快递,标准快递,2026-06-07,2026-06-10,2026-06-10,3,11.62,1,95.9,已签收
YT2605231893022,3470601331608297746,多肽玻尿酸次抛精华液美人符,美人符 (BEAUTY SIGN),个护化妆,上海嘉定仓,长沙,申通快递,陆运快件,2026-05-23,2026-05-24,2026-05-24,1,26.36,5,168.0,已揽收
YT2604156152586,3437580589325275594,i softto 4D玻尿酸精华液 30ml,i-Softto,个护化妆,上海嘉定仓,长沙,极兔速递,同城配送,2026-04-15,2026-04-20,2026-04-20,5,19.79,1,99.0,运输中
YT2604012159068,3462286581921114987,嘟嘟家BZB120DWY113 BZB120DQZ061宝宝过年喜庆卫衣,嘟嘟家,服装,广州白云仓,福州,京东物流,航空快件,2026-04-01,2026-04-03,2026-04-03,2,353.87,169,41.33,运输中
YT2606147043623,3462288368669480965,粉色心形项链229103100065,卡思亚CARSINYA,珠宝礼品,广州白云仓,长春,申通快递,陆运快件,2026-06-14,2026-06-15,2026-06-15,1,38.32,17,30.34,派送中
YT2606098453787,3457236063213470355,舒客红花清火牙膏,舒客 (Saky),个护化妆,广州白云仓,贵阳,韵达物流,航空快件,2026-06-09,2026-06-11,2026-06-11,2,15.7,2,9.9,运输中
YT2606184181219,3497734059940011443,滋源无患子馨香洗头水,滋源 (SEEYOUNG),个护化妆,上海嘉定仓,天津,圆通快递,同城配送,2026-06-18,2026-06-20,2026-06-23,5,6.9,1,89.9,已延误
YT2605277974131,3483260790939744817,自由点绵柔卫生巾日夜用组合装21包125片,自由点 (FREEMORE),个护化妆,上海嘉定仓,天津,韵达物流,航空快件,2026-05-27,2026-05-29,2026-05-29,2,19.03,1,69.9,运输中
YT2604025254912,3458337346607517347,巴拉巴拉男童针织衫儿童秋装儿童中大童22031201796,巴拉巴拉 (BALABALA),母婴,武汉东西湖仓,成都,圆通快递,特快专递,2026-04-02,2026-04-04,2026-04-07,5,36.7,8,79.0,已延误
YT2605239482668,3463002202937899315,Gucci 白色小号padlock花卉链条包 未使用21020609,奢小喵,箱包饰品,成都双流仓,南宁,申通快递,航空快件,2026-05-23,2026-05-24,2026-05-24,1,10.02,1,7130.0,运输中
YT2604079783161,3484315387913500313,爱敬钻石气垫白M23遮瑕保湿补水控油持久bb霜官方旗舰店正品粉底,爱敬 (Aekyung),个护化妆,上海嘉定仓,哈尔滨,韵达物流,特快专递,2026-04-07,2026-04-08,2026-04-08,1,20.34,1,198.0,已揽收
YT2606286094066,3462280506622794750,Q王老吉红豆薏米茶5g 10袋 盒,王老吉 (wanglaoji),运动健康,北京通州仓,成都,圆通快递,标准快递,2026-06-28,2026-06-29,2026-07-01,3,9.83,1,9.9,已延误
YT2604027315787,3484208737592430420,张富民真迹 清心 水墨画,俬聊,家居家装,成都双流仓,苏州,极兔速递,航空快件,2026-04-02,2026-04-04,2026-04-05,3,21.73,1,288.0,已延误
YT2604061715213,3487717721578315460,汪汪队书包27662202310,巴拉巴拉 (BALABALA),母婴,成都双流仓,南昌,申通快递,陆运快件,2026-04-06,2026-04-09,2026-04-09,3,14.64,1,139.0,派送中
YT2604068885247,3436918653084385456,苹果平板电脑 2020年款 iPad 8th WiFi版 128GB,苹果 (APPLE),未分类,成都双流仓,昆明,中通快递,标准快递,2026-04-06,2026-04-09,2026-04-09,3,864.04,447,2741.54,已签收
YT2604072711433,3476197850264765095,女宝套头套装603351,衣拉拉 (ELALA),运动健康,上海嘉定仓,石家庄,极兔速递,特快专递,2026-04-07,2026-04-12,2026-04-12,5,17.57,1,39.9,运输中
YT2606075561557,3436661953727174339,亲子款 男童裤子27694191203 27694191210,巴拉巴拉 (BALABALA),母婴,广州白云仓,武汉,申通快递,标准快递,2026-06-07,2026-06-08,2026-06-08,1,34.73,8,22.21,派送中
YT2606156524570,3465455151094079798,D747 中国黄金 足金玫瑰花吊坠,中国黄金 (China Gold),珠宝礼品,成都双流仓,南京,顺丰速运,航空快件,2026-06-15,2026-06-20,2026-06-21,6,9.71,1,259.0,已延误
YT2604074373236,3489369185845433309,MINISO名创优品冰棒模具制冰盒DIY家用冰箱自制冰棍,名创优品 (MINISO),工业/农业/商业,北京通州仓,杭州,圆通快递,标准快递,2026-04-07,2026-04-10,2026-04-10,3,12.7,1,15.0,运输中
YT2606016079575,3460920898343809922,NS1 直播 Coach 专gui手提斜挎,蔻驰 (COACH),箱包饰品,广州白云仓,南昌,中通快递,陆运快件,2026-06-01,2026-06-03,2026-06-03,2,10.69,1,2649.0,已签收
YT2605256009216,3494016379131194868,桔夕饰品 卡地亚 love系列B4050700 98新 ss0140,卡地亚（Cartier）,箱包饰品,北京通州仓,福州,顺丰速运,航空快件,2026-05-25,2026-05-30,2026-05-30,5,11.32,2,5999.25,已签收
YT2604158527555,3435024789453015924,A康巴赫蒸格蒸笼不锈钢蒸屉32cm锅具适用加厚蒸锅包子馒头,康巴赫 (KBH),家居家装,广州白云仓,南京,德邦物流,航空快件,2026-04-15,2026-04-20,2026-04-22,7,10.97,2,47.45,已延误
YT2605174117100,3479363103832030769,浪琴 经典L49214126 公价10500 38 5mm,浪琴 (Longines),珠宝礼品,武汉东西湖仓,厦门,京东物流,标准快递,2026-05-17,2026-05-21,2026-05-21,4,15.56,1,5400.0,已揽收
YT2606036274811,3421797151104219382,塞飞洛单肩斜跨小方包1WA18G628,塞飞洛 (CEFIRO),箱包饰品,北京通州仓,杭州,韵达物流,航空快件,2026-06-03,2026-06-07,2026-06-07,4,28.6,8,64.7,已签收
YT2605132351412,3446161208057687309,浪琴 军旗 17全套 工价15000,浪琴 (Longines),未分类,上海嘉定仓,武汉,顺丰速运,航空快件,2026-05-13,2026-05-14,2026-05-14,1,15.09,1,7800.0,已揽收
YT2606023891738,3458414157676857299,欧美潮流风A083,爱诗慕,服装,上海嘉定仓,上海,申通快递,同城配送,2026-06-02,2026-06-07,2026-06-10,8,117.1,38,291.63,已延误
YT2606266892682,3462145038992200697,202抖A 托德斯 99新 5041422,红布林,食品酒水,北京通州仓,宁波,极兔速递,航空快件,2026-06-26,2026-06-29,2026-06-29,3,14.93,1,3866.0,运输中
YT2606035214450,3457647216221624975,巴布豆童鞋3D印皮面时尚运动鞋26 38码 ZLS9061,巴布豆 (BOBDOG),母婴,上海嘉定仓,厦门,顺丰速运,同城配送,2026-06-03,2026-06-05,2026-06-05,2,103.32,72,148.86,运输中
YT2604069687192,3466349584408807414,甜美气质花朵黑色皮筋,旋美,珠宝礼品,武汉东西湖仓,郑州,极兔速递,特快专递,2026-04-06,2026-04-07,2026-04-07,1,62.09,21,10.06,已签收
YT2604047857957,3491408371742078887,史努比卫裤 TCKX053,史努比 (Snoopy),服装,北京通州仓,天津,京东物流,同城配送,2026-04-04,2026-04-08,2026-04-08,4,29.0,8,20.27,已签收
YT2604026120742,3460400745541719374,高帮运动鞋AR3762 008,耐克 (NIKE),服装,成都双流仓,天津,极兔速递,标准快递,2026-04-02,2026-04-03,2026-04-03,1,35.29,16,539.0,运输中
YT2605217370228,3441645868154017205,ROCOS 雷克斯R0106镂空全自动机械表男士时尚表,雷克斯 (ROCOS),珠宝礼品,北京通州仓,合肥,圆通快递,特快专递,2026-05-21,2026-05-26,2026-05-26,5,40.46,31,706.53,派送中
YT2606133050284,3478201205656795659,巴拉巴拉短裤童装儿童运动裤22 092191206,巴拉巴拉 (BALABALA),母婴,北京通州仓,青岛,中通快递,陆运快件,2026-06-13,2026-06-15,2026-06-15,2,15.46,10,40.9,已签收
YT2606079288544,3443378522377324182,芭芭鸭33022,芭芭鸭 (Babaya),母婴,北京通州仓,沈阳,德邦物流,航空快件,2026-06-07,2026-06-08,2026-06-08,1,11.88,4,79.9,已签收
YT2606156672690,3468750559107014209,华为 AM116半入耳式耳机,华为 (HUAWEI),手机数码,武汉东西湖仓,苏州,圆通快递,特快专递,2026-06-15,2026-06-18,2026-06-19,4,14.56,1,38.0,已延误
YT2605123029336,3434082450081494262,洁丽雅一次性洗脸巾3卷男女家用加厚毛巾吸水棉柔巾卷筒洁面巾,洁丽雅（Grace）,家居家装,北京通州仓,长春,德邦物流,特快专递,2026-05-12,2026-05-16,2026-05-16,4,17.95,5,13.75,运输中
YT2605236130490,3478200984440848164,森马牛仔裤男11 010241010,森马 (Semir),服装,广州白云仓,南京,申通快递,陆运快件,2026-05-23,2026-05-25,2026-05-26,3,10.93,2,34.99,已延误
YT2604214410411,3475423184134784799,时尚青春低帮休闲鞋W6L1DAM1,百丽 (BELLE),服装,广州白云仓,宁波,德邦物流,同城配送,2026-04-21,2026-04-24,2026-04-24,3,75.3,25,411.25,已签收
YT2606054701991,3472903053974330456,黑白格纹半身裙女棋盘格2021夏季新款高腰A字裙时尚短裙女,太平鸟 (PEACEBIRD),服装,成都双流仓,成都,顺丰速运,航空快件,2026-06-05,2026-06-06,2026-06-09,4,85.88,30,125.9,已延误
YT2606115698861,3440386643754903723,妖精的口袋羊卷毛外套2020冬季新款韩版宽松羊卷毛,妖精的口袋 (ELF SACK),服装,广州白云仓,太原,中通快递,同城配送,2026-06-11,2026-06-15,2026-06-15,4,7.62,1,126.01,已揽收
YT2604289981561,3491798760848269760,苏菲卫生巾超值日夜组用组合装,苏菲 (SOFY),个护化妆,成都双流仓,成都,申通快递,航空快件,2026-04-28,2026-05-03,2026-05-03,5,8.4,2,58.25,已签收
YT2605026308920,3489441141663891411,精选好物 珂莱蒂尔风衣外套KJ00046S5,珂莱蒂尔 (Koradior),服装,上海嘉定仓,西安,申通快递,陆运快件,2026-05-02,2026-05-04,2026-05-04,2,7.0,1,2987.0,已签收
YT2606011024086,3496010841810176502,盐津铺子肉肉零食礼盒20包,盐津铺子,食品酒水,广州白云仓,西安,中通快递,特快专递,2026-06-01,2026-06-03,2026-06-03,2,20.81,3,35.59,派送中
YT2604168426616,3488824141610676633,雅诗兰黛持妆粉抵液 7ml,雅诗兰黛 (ESTEE LAUDER),个护化妆,成都双流仓,长沙,顺丰速运,特快专递,2026-04-16,2026-04-17,2026-04-17,1,518.77,240,49.0,派送中
YT2605071797056,3460777289527234088,9615 1双面尼女装外套,戈弟,服装,广州白云仓,厦门,德邦物流,航空快件,2026-05-07,2026-05-12,2026-05-12,5,16.63,3,452.2,运输中
YT2605058771572,3485987564903634275,达芙妮时尚女凉鞋422103533 玲,达芙妮 (DAPHNE),服装,武汉东西湖仓,太原,极兔速递,同城配送,2026-05-05,2026-05-09,2026-05-09,4,20.6,3,129.73,运输中
YT2604301539429,3459305384874003960,LV老花水桶97新 hm4392,路易威登 (Louis Vuitton),箱包饰品,成都双流仓,昆明,韵达物流,同城配送,2026-04-30,2026-05-03,2026-05-03,3,17.12,1,5800.0,已揽收
YT2604236755126,3463027448831195794,C582 鱼水之情椭圆形银镶玉项链,中国黄金 (China Gold),珠宝礼品,武汉东西湖仓,西安,中通快递,陆运快件,2026-04-23,2026-04-27,2026-04-27,4,34.41,20,169.0,运输中
YT2606166839410,3467294170199287739,miss COCOON通勤气质优雅吊带针织T恤9030320189,MISSCOCOON,服装,成都双流仓,深圳,德邦物流,航空快件,2026-06-16,2026-06-19,2026-06-19,3,20.95,3,421.42,派送中
YT2604215580398,3457691312525081921,867 中国黄金好事生花菱形足金吊坠,中国黄金 (China Gold),珠宝礼品,广州白云仓,福州,申通快递,同城配送,2026-04-21,2026-04-26,2026-04-26,5,170.92,106,257.78,运输中
YT2605037574722,3458754621923794628,凡尔纳小说,博集天卷,母婴,武汉东西湖仓,西安,京东物流,同城配送,2026-05-03,2026-05-07,2026-05-07,4,267.64,151,15.9,派送中
YT2605157701235,3435194938936136892,NPaia恩派雅风衣外套XNFPC7214A,恩派雅 (N.Paia),未分类,成都双流仓,宁波,极兔速递,航空快件,2026-05-15,2026-05-19,2026-05-19,4,39.14,26,899.01,运输中
YT2604177766924,3464677128589691870,福利 米子旗 9619长袖T恤打底衫,米子旗,未分类,广州白云仓,郑州,极兔速递,同城配送,2026-04-17,2026-04-21,2026-04-21,4,14.45,1,49.9,运输中
YT2604204784473,3471577446460067229,安洁利严选MCM粉色双肩包 95新 BK40213,MCM,箱包饰品,广州白云仓,太原,极兔速递,陆运快件,2026-04-20,2026-04-23,2026-04-23,3,16.94,1,2580.0,运输中
YT2606082103759,3485895764079734518,Joyoung 九阳电压力锅一锅双胆B562,九阳 (JOYOUNG),家用电器,上海嘉定仓,合肥,京东物流,标准快递,2026-06-08,2026-06-11,2026-06-11,3,99.46,72,197.62,已签收
YT2605253473200,3476941650494924723,COACH 蔻驰 徽章和间面线拼色FIELD水桶包,蔻驰 (COACH),箱包饰品,上海嘉定仓,南京,德邦物流,航空快件,2026-05-25,2026-05-28,2026-05-28,3,13.5,1,3500.0,运输中
YT2606011130870,3501841268538010475,371 斯凯奇女士休闲鞋断码福利14566,斯凯奇 (SKECHERS),未分类,广州白云仓,哈尔滨,申通快递,陆运快件,2026-06-01,2026-06-06,2026-06-06,5,7.16,2,109.0,已签收
YT2606098366127,3422404384292746517,whoo后拱辰享阴阳平衡黄色水乳霜套盒三件套装,后 (The history of whoo),未分类,武汉东西湖仓,大连,圆通快递,陆运快件,2026-06-09,2026-06-12,2026-06-12,3,139.76,56,788.01,已签收
YT2604032061428,3413159838585327400,熬夜急救SNP燕窝睡眠补水胶原蛋白面膜白皙滋养提亮肤色收缩毛孔,SNP,个护化妆,北京通州仓,天津,申通快递,航空快件,2026-04-03,2026-04-05,2026-04-05,2,14.74,1,133.59,已签收
YT2605081112165,3489520332220585838,布料统一包裹,统一 (MONARCH),家居家装,成都双流仓,杭州,京东物流,同城配送,2026-05-08,2026-05-13,2026-05-13,5,19.67,2,36.75,已揽收
YT2604236319587,3501938880117127821,雪花秀滋晶洗面奶30ml,雪花秀 (SULWHASOO),未分类,武汉东西湖仓,南京,京东物流,标准快递,2026-04-23,2026-04-28,2026-04-28,5,17.05,1,23.8,已签收
YT2606193223178,3472690787941221909,欧嘉莱尼养颜贵妇膏,欧嘉莱尼 (AOGALIANI),个护化妆,北京通州仓,天津,韵达物流,特快专递,2026-06-19,2026-06-23,2026-06-23,4,17.43,2,19.9,已签收
YT2605295633307,3474381987215732616,单肩包袋女包托特包2021新款大容量印花小熊布包,DANNYBEAR,箱包饰品,北京通州仓,苏州,申通快递,标准快递,2026-05-29,2026-05-30,2026-05-30,1,11.52,6,79.14,已揽收
YT2605126824985,3457834968493993484,6支装 晨光按动中性笔K35黑0 5,晨光 (M&G),电脑办公,上海嘉定仓,南宁,申通快递,同城配送,2026-05-12,2026-05-14,2026-05-14,2,7.99,1,15.39,运输中
YT2605067278880,3480603896177637506,毛巾35 75cm110克,依佑,家居家装,上海嘉定仓,南京,德邦物流,航空快件,2026-05-06,2026-05-09,2026-05-09,3,170.88,85,5.97,运输中
YT2604236563220,3465260896073481409,AlooooohaVintage gucci 95新 4526,AlooooohaVintage,箱包饰品,成都双流仓,厦门,圆通快递,陆运快件,2026-04-23,2026-04-27,2026-04-27,4,10.5,1,1800.0,已签收
YT2606225538998,3460793071510357693,A778 心锁银镶玉项链,中国黄金 (China Gold),珠宝礼品,广州白云仓,青岛,韵达物流,陆运快件,2026-06-22,2026-06-25,2026-06-25,3,27.53,26,201.55,运输中
YT2604309136393,3482344925654346060,DS01200183 梵希雅 连衣裙,梵希雅,服装,上海嘉定仓,昆明,申通快递,航空快件,2026-04-30,2026-05-04,2026-05-04,4,39.07,28,269.0,已签收
YT2605318225601,3473439546702710514,怦然心动礼服裙,JUSTCC,服装,广州白云仓,昆明,申通快递,陆运快件,2026-05-31,2026-06-04,2026-06-04,4,10.72,1,98.68,已签收
YT2604144150598,3486561814882437924,木木心选 圣罗兰 95新 市场价12500,圣罗兰 (YSL),个护化妆,武汉东西湖仓,昆明,韵达物流,同城配送,2026-04-14,2026-04-15,2026-04-15,1,18.83,1,3699.0,已签收
YT2606246438359,3481760438679659961,碎花上衣6633锁定,美玛特,服装,北京通州仓,南昌,德邦物流,同城配送,2026-06-24,2026-06-29,2026-06-29,5,33.48,8,8.34,运输中
YT2604135255026,3470283252688881575,LYP 古驰 单肩包 95成新,古驰 (GUCCI),箱包饰品,成都双流仓,长沙,极兔速递,陆运快件,2026-04-13,2026-04-18,2026-04-18,5,8.02,1,4899.0,派送中
YT2606238735467,3458242794949345330,卡卡锁骨镂空磨毛上衣,JUSTCC,服装,北京通州仓,长沙,中通快递,特快专递,2026-06-23,2026-06-26,2026-06-26,3,97.39,44,78.78,派送中
YT2606079787730,3468847348485091142,XZ20 宝宝学步帆布鞋,卡特兔 (crtartu),母婴,广州白云仓,济南,圆通快递,特快专递,2026-06-07,2026-06-10,2026-06-10,3,16.07,3,92.76,已签收
YT2606235736146,3430550715553203134,巴拉巴拉女幼童连衣裙21111200201,巴拉巴拉 (BALABALA),母婴,成都双流仓,上海,德邦物流,标准快递,2026-06-23,2026-06-25,2026-06-25,2,15.06,2,82.8,已揽收
YT2604145833367,3450610388637469584,马克华菲老爹鞋女790195069139,马克华菲 (Mark Fairwhale),未分类,成都双流仓,北京,京东物流,航空快件,2026-04-14,2026-04-15,2026-04-15,1,451.58,165,198.4,派送中
YT2605316440467,3484549822227294144,4861号septwolves 七匹狼衬衫,七匹狼 (SEPTWOLVES),服装,广州白云仓,苏州,顺丰速运,特快专递,2026-05-31,2026-06-03,2026-06-03,3,15.4,1,29.9,已签收
YT2606222582222,3489584610717883958,COACH 蔻驰 女士TABBY系列20号手提单肩包 870,蔻驰 (COACH),箱包饰品,成都双流仓,长沙,德邦物流,特快专递,2026-06-22,2026-06-24,2026-06-27,5,10.62,1,1699.0,已延误
YT2606292315420,3469338765615627532,陈大猪婴童 迪士尼男宝宝连体衣春季婴儿哈衣爬服连身衣LKCC16002,LUSON,母婴,广州白云仓,济南,韵达物流,陆运快件,2026-06-29,2026-06-30,2026-06-30,1,18.44,1,45.0,运输中
YT2605282517603,3477690858248245338,老管家洗衣机槽清洁剂,老管家 (LAOGUANJIA),食品酒水,广州白云仓,沈阳,中通快递,标准快递,2026-05-28,2026-06-02,2026-06-02,5,58.16,17,25.6,运输中
YT2605102603063,3453575359482740536,广博B6 118页蒸汽纪元系列包背本 ZY,广博 (Guangbo),电脑办公,北京通州仓,太原,圆通快递,航空快件,2026-05-10,2026-05-13,2026-05-13,3,7.85,1,17.5,已签收
YT2606261086371,3466547758654200006,ELAND气质修身显瘦中长款西装裙收腰双排扣连衣裙女EEOWB62Q1I,E·LAND,服装,广州白云仓,郑州,极兔速递,特快专递,2026-06-26,2026-06-29,2026-06-29,3,32.72,9,527.94,已签收
YT2606124028919,3430975635995134786,467 中国黄金四叶草贝壳耳吊,中国黄金 (China Gold),未分类,上海嘉定仓,西安,德邦物流,特快专递,2026-06-12,2026-06-15,2026-06-15,3,70.46,26,129.01,运输中
YT2606133582921,3472102862685920175,Daphne 达芙妮新款某坤小白休闲鞋 422101569,达芙妮 (DAPHNE),服装,成都双流仓,南宁,顺丰速运,陆运快件,2026-06-13,2026-06-18,2026-06-18,5,11.26,2,119.0,运输中
YT2604095204136,3436860228770122204,DJ168丹姐28669201202巴拉巴拉男童书包,巴拉巴拉 (BALABALA),未分类,北京通州仓,广州,德邦物流,陆运快件,2026-04-09,2026-04-13,2026-04-13,4,16.39,3,129.01,派送中
YT2605291390589,3461553630778398127,纽西之谜南极冰藻保湿面膜 2瓶装 100ml 2 gj,纽西之谜 (geoskincare),个护化妆,北京通州仓,太原,京东物流,标准快递,2026-05-29,2026-05-30,2026-05-30,1,11.34,1,129.0,运输中
YT2605291666433,3479404820815867119,兰芝Laneige 紫 绿 30ml,兰芝 (Laneige),个护化妆,上海嘉定仓,深圳,韵达物流,陆运快件,2026-05-29,2026-05-30,2026-05-30,1,25.68,6,72.42,派送中
YT2606087724919,3442638987083303066,5CacheCache显瘦秋冬新款宽松慵懒风开衫外套,Cache Cache,未分类,成都双流仓,哈尔滨,德邦物流,特快专递,2026-06-08,2026-06-12,2026-06-15,7,99.35,70,162.01,已延误
YT2605108942476,3467441781782760511,玛丽黛佳那么大嘭嘭蛋 美妆蛋粉扑,玛丽黛佳 (MARIE DALGAR),个护化妆,成都双流仓,沈阳,京东物流,航空快件,2026-05-10,2026-05-15,2026-05-15,5,17.48,1,113.14,已签收
YT2606115337788,3467077416076363683,whoo后天气丹套盒 花献华炫水乳面霜三件套,后 (The history of whoo),个护化妆,成都双流仓,宁波,顺丰速运,航空快件,2026-06-11,2026-06-15,2026-06-15,4,49.44,12,512.75,派送中
YT2604122292985,3475818787163516964,T612989时尚套装,香影 (xiangying),服装,上海嘉定仓,宁波,圆通快递,陆运快件,2026-04-12,2026-04-15,2026-04-15,3,14.04,4,420.46,派送中
YT2606266917037,3480116275739498368,ROLEND罗兰度男士陀飞轮机械手表,罗兰度 (Rolendo),珠宝礼品,上海嘉定仓,杭州,德邦物流,陆运快件,2026-06-26,2026-06-29,2026-06-29,3,15.78,1,799.0,派送中
YT2604191864450,3500325275902836333,1527 中国黄金 足金银杏叶吊坠,中国黄金 (China Gold),珠宝礼品,成都双流仓,西安,圆通快递,特快专递,2026-04-19,2026-04-20,2026-04-20,1,28.75,15,345.03,已揽收
YT2605072744213,3427808550540428577,360全打开一体式太空包 145,萌琪,家居家装,广州白云仓,广州,顺丰速运,航空快件,2026-05-07,2026-05-12,2026-05-12,5,15.92,1,63.0,派送中
YT2604213391781,3460436080145397789,2021新款黑灰色高腰修身微喇牛仔裤女L7232,优裤缘,电脑办公,北京通州仓,上海,圆通快递,标准快递,2026-04-21,2026-04-22,2026-04-22,1,20.6,1,159.0,已揽收
YT2606033638818,3455819660333809765,拍一发2味滋源甜辣鸭脖100g,味滋源,食品酒水,武汉东西湖仓,昆明,德邦物流,航空快件,2026-06-03,2026-06-05,2026-06-05,2,24.86,4,19.9,已签收
YT2605138882330,3493663296438014600,纯银925大眼狮国风吊坠D5 05 YC1,九乐 (JIULE),珠宝礼品,北京通州仓,贵阳,德邦物流,同城配送,2026-05-13,2026-05-18,2026-05-21,8,13.27,1,219.0,已延误
YT2605313017640,3489919225211022037,斯凯奇男鞋52532R,斯凯奇 (SKECHERS),运动健康,成都双流仓,沈阳,极兔速递,航空快件,2026-05-31,2026-06-02,2026-06-02,2,33.8,11,206.99,已签收
YT2605133961057,3473963964390588084,尔木萄心悦美妆蛋套盒,尔木萄 (AMORTALS),个护化妆,成都双流仓,昆明,京东物流,特快专递,2026-05-13,2026-05-16,2026-05-16,3,19.18,1,32.0,已签收
YT2605172022515,3451361454048025167,男士羽绒服轻薄短款潮牌新款加厚外套935,语克,服装,北京通州仓,合肥,韵达物流,陆运快件,2026-05-17,2026-05-18,2026-05-18,1,22.33,3,159.0,运输中
YT2604167957530,3396993555728841284,老庙S990足银手镯花型宽面纯银可调节宽镯简约送妈妈礼物,老庙,未分类,上海嘉定仓,哈尔滨,德邦物流,陆运快件,2026-04-16,2026-04-20,2026-04-20,4,12.12,1,666.01,运输中
YT2605072770938,3408987617117794652,巴拉巴拉男中大童长裤2019百搭显瘦慢跑裤22083191107,巴拉巴拉 (BALABALA),未分类,广州白云仓,南宁,德邦物流,陆运快件,2026-05-07,2026-05-12,2026-05-13,6,21.84,6,86.12,已延误
YT2605261395351,3486988478904941670,利郎夏款衬衫123S 黑暗纹,利郎 (Lilanz),服装,上海嘉定仓,大连,京东物流,航空快件,2026-05-26,2026-05-27,2026-05-27,1,33.07,6,69.0,派送中
YT2604055894820,3481203293265478695,公鹿王德式小麦精酿啤酒500ml,酒仙网,食品酒水,广州白云仓,青岛,申通快递,航空快件,2026-04-05,2026-04-08,2026-04-08,3,36.95,10,99.0,已签收
YT2605032402425,3478974980514039266,斯凯奇L220M003男士透气短袖宽松舒适弹性针织体恤衫,斯凯奇 (SKECHERS),服装,广州白云仓,重庆,德邦物流,特快专递,2026-05-03,2026-05-06,2026-05-06,3,15.3,1,65.25,已揽收
YT2606271484736,3475238463933155749,16头轻奢凤尾钻石餐具碗盘套装,句途,家居家装,武汉东西湖仓,南京,申通快递,航空快件,2026-06-27,2026-06-28,2026-06-28,1,725.06,285,39.9,已签收
YT2604013438133,3438917977657990584,变态心理学,人民邮电出版社 (POSTS & TELECOM PRESS),图书音像,北京通州仓,太原,中通快递,特快专递,2026-04-01,2026-04-02,2026-04-02,1,9.85,1,96.0,已签收
YT2604069745484,3480501658826501646,冰希黎金色恋人女士香水50ml,冰希黎 (Boitown),个护化妆,武汉东西湖仓,南宁,极兔速递,陆运快件,2026-04-06,2026-04-10,2026-04-10,4,24.55,19,83.84,运输中
YT2604176432599,3488838312737808375,倩碧黄油乳液125ml 无油款,倩碧 (Clinique),个护化妆,广州白云仓,重庆,中通快递,陆运快件,2026-04-17,2026-04-22,2026-04-22,5,131.88,46,149.62,已揽收
YT2606092188756,3480129001727602172,JC宝宝学院风短袖包屁衣Y,咖啦熊,母婴,成都双流仓,上海,德邦物流,特快专递,2026-06-09,2026-06-14,2026-06-14,5,22.25,10,9.9,派送中
YT2604258736869,3483871640499128996,普拉达 95新 市场价15000,普拉达 (PRADA),服装,上海嘉定仓,杭州,顺丰速运,同城配送,2026-04-25,2026-04-29,2026-04-29,4,15.17,1,3499.0,已签收
YT2604269426899,3462426142596817086,富安娜家纺床上四件套全棉纯棉冬季床笠床单被套X,富安娜 (FUANNA),家居家装,上海嘉定仓,北京,德邦物流,特快专递,2026-04-26,2026-04-29,2026-04-29,3,19.98,3,356.49,已签收
YT2605239386694,3476712846899988860,2021新款88501蕾丝导轨蚊帐落地公主 韶华WZ XC01 ZB,浪莎 (LangSha),家居家装,成都双流仓,厦门,韵达物流,标准快递,2026-05-23,2026-05-28,2026-05-28,5,6.73,1,221.21,派送中
YT2605068375373,3499743954310695913,科颜氏金盏花植萃爽肤水40ml,科颜氏 (KIEHL'S),个护化妆,成都双流仓,南宁,圆通快递,航空快件,2026-05-06,2026-05-11,2026-05-13,7,30.54,6,29.33,已延误
YT2606032316567,3443562920246673230,杏花村西林杏园清香型白酒60度500ml 6瓶,杏花村 (xinghuacun),未分类,广州白云仓,青岛,极兔速递,同城配送,2026-06-03,2026-06-07,2026-06-07,4,17.98,2,588.0,派送中
